시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
단국대학교석주선기념박물관,사립,경기도 용인시  수지구 죽전로 152,경기도 용인시 수지구 죽전동 152,37.323105,127.127897,031-8005-2389,단국대,http://museum.dankook.ac.kr,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",0,0,0,0,,,031-8005-2389,단국대,2017-02-28
경기도박물관,공립,경기도 용인시  기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.268263,127.111962,031-288-5300,(재)경기문화재단,http://musenet.ggcf.kr/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",4000,2000,0,3000,,,031-288-5300,(재)경기문화재단,2017-02-28
경기도어린이박물관,공립,경기도 용인시  기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.268263,127.111962,031-270-8636,(재)경기문화재단,http://gcm.ggcf.kr/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",4000,4000,4000,2000,,,031-270-8636,(재)경기문화재단,2017-02-28
한국민속촌박물관,사립,경기도 용인시  기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35,37.262171,127.119696,031-288-0000,한국민속촌,http://www.koreanfolk.co.kr,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",18000,15000,13000,13000,,,031-288-0000,한국민속촌,2017-02-28
호암미술관,사립,경기도 용인시  처인구 포곡읍 에버랜드로562번길 38,경기도 용인시 처인구 포곡읍 가실리 산12-8,37.294586,127.193861,031-320-1800,삼성재단,www.hoammuseum.org,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",4000,3000,3000,2000,,,031-320-1800,삼성재단,2017-02-28
용인문화유적전시관,공립,경기도 용인시  기흥구 동백3로 79,경기도 용인시 기흥구 중동 862,37.273997,127.157071,031-324-4796,용인문화유적전시관,http://tour.yongin.go.kr,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",0,0,0,0,,,031-324-4796,용인문화유적전시관,2017-02-28
예아리박물관,사립,경기도 용인시  백암면 원설로 270번길 25,경기도 용인시 처인구 백암면 근삼리 389-1,37.141902,127.363518,031-323-7277,예아리박물관,http://www.yearee.com,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",5000,4000,3000,3000,,,031-323-7277,예아리박물관,2017-02-28
신영숙컬렉션박물관,사립,경기도 용인시  기흥구 흥덕4로 63,경기도 용인시 기흥구 영덕동 55-4,37.277819,127.090374,031-282-8845,신영숙컬렉션박물관,http://www.icamkorea.org,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",9000,5000,3500,0,,,031-282-8845,신영숙컬렉션박물관,2017-02-28
설민민화박물관,사립,경기도 용인시  처인구 동부로 823,경기도 용인시 처인구 해곡동 154-1,37.189385,127.277021,031-336-1541,설민민화박물관,,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",0,0,0,0,,,031-336-1541,설민민화박물관,2017-02-28
한국미술관,사립,경기도 용인시  기흥구 마북로 244-2,경기도 용인시 기흥구 마북동 73-1,37.309165,127.131941,031-284-6418,한국미술관,www.hartm.com,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",0,0,0,0,,,031-284-6418,한국미술관,2017-02-28
이영미술관,사립,경기도 용인시  기흥구 흥덕4로 63,경기도 용인시 기흥구 영덕동 55-4,37.277819,127.090374,031-213-8223,이영미술관,www.icamkorea.org,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",9000,5000,3500,0,,,031-213-8223,이영미술관,2017-02-28
마가미술관,사립,경기도 용인시  처인구 모현면 문형동림로101번길 37,경기도 용인시 처인구 모현면 동림리 263,37.331711,127.192921,031-334-0365,마가미술관,http://www.magamuseum.co.kr/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",4000,3000,2500,2500,,,031-334-0365,마가미술관,2017-02-28
백남준아트센터,공립,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 85,37.267944,127.108803,031-201-8500,(재)경기문화재단,http://www.njpartcenter.kr/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",4000,2000,0,0,,,031-201-8500,(재)경기문화재단,2017-02-28
안젤리미술관,사립,경기도 용인시  처인구 이원로 244,경기도 용인시 처인구 이동면 묵리 724-4,37.184602,127.231844,031-323-1968,안젤리미술관,http://www.angeliartmuseum.com/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",5000,2000,0,2000,,,031-323-1968,안젤리미술관,2017-02-28
삶의이야기가있는집,사립,경기도 용인시  처인구 원삼면 내동로 50-13,경기도 용인시 처인구 원삼면 사암리 883-1,37.175593,127.295545,031-334-4115,삶의이야기가있는집,http://motherparkchung-soo.org/,,10:00,18:00,10:00,18:00,"""매주 월요일,설연휴,추석연휴""",0,0,0,0,,,031-334-4115,삶의이야기가있는집,2017-02-28
삼성 교통박물관,사립,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171,경기도 용인시 처인구 포곡읍 유운리 432,37.301156,127.217029,031-320-9900,삼성화재,http://www.stm.or.kr,,10:00,18:00,10:00,18:00,"""매주 월요일, 설연휴,추석연휴""",6000,5000,5000,3000,,,031-320-9900,삼성화재,2017-02-28
한국등잔박물관,사립,경기도 용인시 처인구 모현면 능곡로56번길 8,경기도 용인시 처인구 모현면 능원리 258-9,37.336675,127.177097,031-334-0797,(재)한국등잔박물관,http://www.deungjan.or.kr,,10:00,18:00,10:00,18:00,"""매주 월요일~화요일,설연휴,추석연휴""",4000,2500,2500,2500,,,031-334-0797,(재)한국등잔박물관,2017-02-28
화폐박물관,사립,경기도 파주시 탄현면 헤이리마을길 93-89,경기도 파주시 탄현면 법흥리 1652-53번지,37.790809,126.697301,031-949-6592,화폐박물관,없음,,11:00,18:00,11:00,18:00,매주월요일,3000,2000,2000,,"""화폐, 금융자료""",,031-940-4356,파주시청,2017-11-08
기산미술관,사립,경기도 파주시 광탄면 기산리 186번길 59,경기도 파주시 광탄면 기산리 540-5번지,37.773774,126.916467,031-943-8232,기산미술관,WWW.기산미술관.com,,10:00,18:00,10:00,18:00,매주월요일,4000,3500,3000,,조소,,031-940-4356,파주시청,2017-11-08
블루메미술관,사립,경기도 파주시 탄현면 헤이리마을길 59-30,경기도 파주시 탄현면 법흥리 1652-140번지,37.788995,126.697025,031-944-6324,블루메미술관,www.bmoca.or.kr,,11:00,18:00,13:00,18:00,매주월요일,3000,2000,2000,,현대전시,,031-940-4356,파주시청,2017-11-08
미메시스아트뮤지엄,사립,경기도 파주시 문발로 253,경기도 파주시 문발동 499-3번지,37.716719,126.689026,031-955-4100,미메시스아트뮤지엄,www.mimesisart.co.kr,,10:00,17:00,10:00,18:00,매주월요일~수요일,3000,2000,0,,현대전시,,031-940-4356,파주시청,2017-11-08
아트센터화이트블럭,사립,경기도 파주시 탄현면 헤이리마을길 72,경기도 파주시 탄현면 법흥리 1652-237번지,37.788894,126.699389,031-992-4400,아트센터화이트블럭,whiteblock.org,,11:00,18:00,11:00,18:00,매주월요일,2000,2000,2000,,현대전시,,031-940-4356,파주시청,2017-11-08
피노키오뮤지엄,사립,경기도 파주시 회동길 152,경기도 파주시 문발동 513-15번지,37.708909,126.687553,031-8035-6773,피노키오뮤지엄,http://pinocchiomuseum.tistory.com,,10:00,18:00,10:00,18:00,매주월요일,8000,8000,8000,,피노키오 및 목공예품,,031-940-4356,파주시청,2017-11-08
벽봉한국장신구박물관,사립,경기도 파주시 탄현면 헤이리마을길 48-38,경기도 파주시 탄현면 법흥리 1652-410번지,37.787631,126.700047,031-949-0848,벽봉한국장신구박물관,www.heyri.net/blog/board/sub5_content_search.asp?intpage=1&idx=178&SearchPart=title&SearchStr=벽봉한국장신구박물관,,10:00,18:00,10:00,18:00,"""매주월요일,화요일""",5000,3000,3000,,왕실 공예품 등,,031-940-4356,파주시청,2017-11-08
영집궁시전시관,사립,경기도 파주시 탄현면 국원말길 168,경기도 파주시 탄현면 법흥리 242-5번지,37.784882,126.711447,031-944-6800,영집궁시전시관,www.arrow.or.kr/,,10:00,18:00,10:00,18:00,매주월요일,3000,2500,2000,,무기류 등,,031-940-4356,파주시청,2017-11-08
파주나비나라박물관,사립,경기도 파주시 광인사길 161,경기도 파주시 문발동 500-8번지,37.714857,126.686892,031-955-3727,파주나비나라박물관,www.nabynara.com,,10:00,18:00,10:00,18:00,매주월요일,4000,5000,5000,,곤충 표본 및 관련미술품,,031-940-4356,파주시청,2017-11-08
한국근현대사박물관,사립,경기도 파주시 탄현면 헤이리마을길 59-85,경기도 파주시 탄현면 법흥리 1652-10번지,37.790875,126.695187,031-957-1125,한국근현대사박물관,www.kmhm.or.kr,,09:30,18:00,09:30,19:00,매주월요일,7000,5000,5000,,근현대자료 등,,031-940-4356,파주시청,2017-11-08
한길책박물관,사립,경기도 파주시 탄현면 헤이리마을길 59-6,경기도 파주시 탄현면 법흥리 1652-136번지,37.789257,126.697906,031-949-9786,한길책박물관,www.hangilbookmuseum.or.kr,,11:00,18:00,11:00,18:00,매주월요일,6000,4000,4000,,고서,,031-940-4356,파주시청,2017-11-08
세계민속악기박물관,사립,경기도 파주시 탄현면 헤이리마을길 63-26,경기도 파주시 탄현면 법흥리 1652-213번지,37.791561,126.695175,031-946-9838,세계민속악기박물관,www.e-musictour.com,,10:00,17:00,10:00,17:00,매주월요일,5000,4000,4000,,민속악기 및 민속품,,031-940-4356,파주시청,2017-11-08
두루뫼사료관,사립,경기도 파주시 법원읍 초리골길 278,경기도 파주시 법원읍 법원리 139-5번지,37.856998,126.896056,031-958-6101,두루뫼사료관,www.durumea.org,,10:00,18:00,10:00,18:00,매주월요일,5000,4000,3000,,"""민속, 옹기, 농기, 근현대 유물""",,031-940-4356,파주시청,2017-11-08
한향림옹기박물관,사립,경기도 파주시 탄현면 헤이리마을길 96-43,경기도 파주시 탄현면 법흥리 1652-577번지,37.789929,126.700892,070-4161-7271,한향림옹기박물관,www.onggimuseum.com/,,10:00,18:00,10:00,18:00,"""매주월요일,화요일""",3000,3000,3000,,"""옹기, 관련 민속품""",,031-940-4356,파주시청,2017-11-08
세계인형박물관,사립,경기도 파주시 탄현면 헤이리 마을길 76-100,경기도 파주시 탄현면 법흥리 1652-485번지,37.786855,126.702097,031-947-2575,세계인형박물관,www.worlddoll.net,,10:00,18:00,10:00,18:00,"""매주월요일, 설날 추석연휴""",5000,4000,3000,,인형류,,031-940-2575,파주시청,2017-11-08
타임앤블레이드박물관,사립,경기도 파주시 탄현면 헤이리마을길 41,경기도 파주시 탄현면 법흥리 1652-257번지,37.787355,126.697861,031-949-5675,타임앤블레이드박물관,www.time-blade.com,,10:00,18:00,10:00,18:00,"""매주월요일,화요일""",6000,4000,4000,,"""기계식시계, 칼""",,031-940-4356,파주시청,2017-11-08
여주시립폰박물관,공립,경기도 여주시 강변유원지길 105,경기도 여주시 연양동 304-8번지,37.2935942,127.666462,031-887-3548,여주시립폰박물관,http://www.phonemuseum.co.kr,,09:00,18:00,09:00,18:00,"""매주월요일,추석당일,설날당일,1월2일""",3000,2500,2000,,2016년 4월 여주 시립으로 다시 태어난 폰박물관은 세계에서 하나뿐인 휴대전화 박물관이다.,"""여주IC, 서여주IC → 버스터미널사거리 → 상동사거리(우회전) → 상동삼거리(좌회전) → 강변유원지 내 위치""",031-887-3548,경기도 여주시청,2017-11-20
명성황후기념관,공립,경기도 여주시 산북면 명성로 71,경기도 여주시 능현동 250-3번지,37.2605708,127.656887,031-880-4022,명성황후기념관,http://www.empressmyeongseong.kr,,09:00,18:00,09:00,18:00,"""매주월요일, 1월1일""",1000,700,500,,명성황후 생가 앞에 위치한 명성황후 기념관은 올바른 역사관을 정립하고자 건립한 기념관이다.,"""경부고속도로 신갈 I.C., 중부고속도로 호법 I.C., 중부내륙고속도로 여주 Jct.에서 영동고속도로로 진입 →강릉방면 여주 I.C.에서 나와 → 여주 방향으로 우회전 하여 150m 지점에서 → 다시 우회전 한 후 직진하면 800m 지점에 명성황후생가가 위치""",031-880-4022,여주도시관리공단,2017-11-20
반달미술관(여주세계생활도자관),공립,경기도 여주시 신륵사길 7,경기도 여주시 천송동 297-1번지,37.3007733,127.6569227,031-884-8644,반달미술관,https://www.kocef.org,,10:00,18:00,10:00,18:00,1월 1일,0,0,0,비엔날레 기간 입장료有,반달미술관은 15년간 세계도자기비엔날레가 개최된 도자미술관 4곳 중 하나이다.,영동고속도로 :?여주IC이용 → 37번국도(이천·여주방향),031-884-8644,한국도자재단,2017-11-20
여주산림박물관,공립,경기도 여주시 황확산수목원길 73,경기도 여주시 매룡동 282번지,37.2778741,127.6479081,031-887-2741,여주산림박물관,http://www.yeoju.go.kr/main/hhsan,북카페 운영,09:00,18:00,09:00,18:00,"""매주월요일,추석당일,설날당일,1월1일""",0,0,0,,"""산림의 과거, 현재, 미래를 영상과 학습자료를 이용해 설명하고 다양한 산림문화작품을 전시한 체험관""",여주 IC?→?명성황후생가입구?→?강변유원지 방향?→?곤충박물관 삼거리에서 좌회전?→?황학산수목원,031-887-2741,여주산림박물관,2017-11-20
목아박물관,사립,경기도 여주시 강천면 이문안길 21,경기도 여주시 강천면 이호리 395-2번지,37.2882091,127.6878915,031-885-9952,목아박물관,http://www.moka.or.kr/,목아카페 운영,09:00,18:00,09:00,18:00,매주월요일,5000,3000,3000,,우리의 문화를 올바르게 계승 및 발전시키기 위해 중요무형문화재 108호 목조각장 박찬수 관장이 설립하였다.,"""여주 IC → 여주대학 → 문막방면 전용도로 → 이호대교 → 이호리, 대순진리회 → 좌회전 → 목아박물관""",031-887-9952,목아박물관,2017-11-20
한얼테마박물관,사립,경기도 여주시 대신면 대신1로 298,경기도 여주시 대신면 옥촌리 831-1번지,37.3986436,127.609115,031-881-6316,한얼테마박물관,http://blog.naver.com/hanultheme,,09:00,18:00,09:00,18:00,연중무휴,5000,3000,3000,,"""폐교와 기차를 활용해 각종 유물들을 과학, 전적, 고문서 등 여러 테마로 나누어 전시하고 있다.""",여주 IC에서 우회전 (37번 국도) → 4km 직진 후 터미널 사거리에서 우회전 (37번 국도)하여 9m 직진 → 자동차 전용도로 타지말고 오른쪽 국도로 3km 더 직진 → 삼거리에서 좌회전(88번 지방도)하여 1km 직진 → 사거리에서 우회전하여 (319번 도로) 3km 직진,031-881-6319,한얼테마박물관,2017-11-20
어우재미술관,사립,경기도 여주시 점동면 어우실길 261,경기도 여주시 점동면 관한리 42-1번지,37.1467474,127.6757289,031-883-9080,어우재미술관,http://www.awoojae.co.kr,,09:00,18:00,09:00,18:00,매주 월요일,2000,1000,1000,,가족사랑'을 중시하여 유소년들의 미술이해 도움과 예술 소외층을 위해 건립되었다.,네비게이션에 원부저수지 입력 → 원부저수지로 들어오는 길인 대륙기계+경성미가 사이의 길로 3km 직진,031-883-9080,어우재미술관,2017-11-20
죽포미술관,사립,경기도 여주시 산북면 고촌길 26-10,경기도 여주시 산북면 명품리 267번지,37.408668,127.4427309,031-881-5905,죽포미술관,http://www.jpmuseum.co.kr/,,10:00,17:00,10:00,17:00,"""동절기 1,2월""",0,0,0,,국제 미술속에서 한국 미술의 위상과 창조적 전략 기지로서의 기능과 역할을 수행하기 위해 건립되었다.,중부고속도로 곤지암IC → 98번국도(양평방면 14km) → 상품사거리,031-881-5905,죽포미술관,2017-11-20
곤충박물관,사립,경기도 여주시 명성로 342,경기도 여주시 매룡동 209-5번지,37.278575,127.657826,031-885-1400,여주곤충박물관,http://www.여주곤충박물관.kr,,09:30,18:00,09:30,18:00,매주 월요일,4000,3000,3000,,곤충의 생태를 표본이나 실물을 통해 직접 눈으로 보고 만지며 느낄 수 있는 공간이다.,여주 IC→명성황후생가입구→강변유원지 방향→ 황학산 수목원 삼거리 →곤충박물관,031-885-1400,여주곤충박물관,2017-11-20
성지박물관,사립,경기도 여주시 하거3길 61-98,경기도 여주시 하거동 411-1번지,37.2204392,127.6416356,031-884-0118,성지박물관,,,09:00,17:30,09:00,15:00,"""매주 일요일, 공휴일""",5000,4000,3000,,"""이스라엘에서 직접 가져온 성서시대의 진품 유물을 전시했으며, 성서 주인공들의 삶을 이해할 수 있다.""",여주 IC에서 장호원 방향으로 좌회전 약 1.74.Km → 삼교교 앞 3거리에서 하거동 방향으로 우회전 1.6Km → 하거2길 좌회전 후 68m → 우회전 후 296m,031-884-0118,성지박물관,2017-11-20
여성생활사박물관,사립,경기도 여주시 강천면 강천로 324-20,경기도 여주시 강천면 굴암리 9-3번지,37.2427216,127.7078839,031-882-8100,여성생활사박물관,http://www.womanlife.or.kr/,,10:00,18:00,10:00,18:00,매주 월요일,5000,3000,3000,,여성생활사 유물의 조사수집과 관리 및 전시를 통해 여성문화의 이해증진을 위해 건립한 박물관이다.,여주 IC를 나와 여주대학을 지나 원주 방면 자동차 전용도로를 이용하여 7km 운행 후 강천에서 빠져나와 파출소를 지나 우회전하여 굴암리 쪽으로 향한다.,031-882-8100,여성생활사박물관,2017-11-20
여주박물관,공립,경기도 여주시 신륵사길 6-12,경기도 여주시 천송동 588-6번지,37.299651,127.653401,031-887-3583,여주박물관,http://www.yeoju.go.kr/museum,통카페 운영,09:00,18:00,09:00,18:00,"""매주월요일,추석당일,설날당일,1월1일""",0,0,0,,"""여주의 역사와 전통문화를 아우르는 시립박물관으로, 전시와 교육, 체험을 할 수 있는 문화공간이다.""",여주IC → 여주대교 → 신륵사 관광단지 → 신륵사 관지 내 강변에 위치,031-887-3583,경기도 여주시청,2017-11-20
하남역사박물관,공립,경기도 하남시 덕풍동로 30,경기도 하남시 덕풍동 694번지,37.544479,127.207212,031-790-7915,하남문화재단,www.hanammuseum.com,,09:00,18:00,09:00,18:00,매주 월요일,0,0,0,,,,031-790-7915,경기도 하남시 하남문화재단,2017-11-17
유엔군초전기념관,공립,경기도 오산시 경기대로 742,경기도 오산시 경기대로 742,37.184171,127.048986,031-377-1625,무공수훈자회 오산지회 (위탁운영),http://www.osan.go.kr/osanUnfw/main.do,공원 및 벤치,09:00,18:00,09:00,18:00,"""월요일, 1.1 및 설 추석연휴""",0,0,0,0,"""유엔군 초전기념관은 6.25전쟁에 참가한 UN군의 고귀한 희생을 기리고, 자유와 평화를 위한 상호 이해와 협력의식을 느끼며 체험할 수 있는 역사문화교육의 장소입니다.""","""지하철 : 1호선 세마역 하차 1번 출구 (도보 8분),  버스 : 20번, 301번 북오산 IC(동탄방면) - 오산시청방면 우회전 - 수원/평택 방면 우회전 - 수원/병점 방면 우회전 - 경기대로 따라 1.5KM 직진 후 우측 유엔군 초전기념관 북오산 IC(수원세교방면) - 세마대사거리에서 평택/오산 방면 좌회전 - 경기대로 따라 1.5KM 직진 후 유턴 - 1KM 직진 후 우측 유엔군 초전기념관""",031-8036-7605,오산시청 문화체육관광과,2017-11-30
아모레퍼시픽미술관,사립,경기도 오산시 가장동 382,경기도 오산시 가장산업동로 37 아모레퍼시픽 오산공장,37.163928,127.037685,031-8047-1481,아모레퍼시픽,https://storygarden.amorepacific.com/MainIntro.do,벤치 및 휴게공간,10:00,17:00,00:00,00:00,"""주말 및 공휴일, 매월 말일""",0,0,0,0,"""아모레퍼시픽스토리가든은 스토리, 공간디자인, 체험이라는 세 요소를 중심으로 구성된 기업스토리텔링 전문공간입니다. 구체적인 해설이 없이도 감성을 자극하는 스토리라인과 아름다움이 살아 숨쉬는 공간 디자인을 통해 방문객 스스로 美의 의미를 재창조할 체험의 기회를 제공해드립니다.""","""1호선 세마역 → 31번 버스 아모레 정류장 하차 / 1호선 오산역 → 31번 버스 아모레 정류장 하차 서울 출발시, 경부고속도로 부산방면 / 오산IC 오산(송탄)방면 출구 / 오산가장산업단지내 아모레퍼시픽""",031-8036-7605,오산시청 문화체육관광과,2017-11-30
한신대학교박물관,대학,경기도 오산시 한신대길 137,경기도 오산시 양산동 410-8,37.194051,127.023878,031-379-0195,한신대학교,http://www.hs.ac.kr/hsmuseum/index.do,교내 벤치 및 휴게시설,10:00,16:00,00:00,00:00,"""공휴일, 국경일 및 개교기념일(4.19)""",0,0,0,0,"""한신대학교 박물관은 고고·역사·민속 등에 관한 유물을 수집하여 정리, 보존, 전시함으로써 교내의 성원들은 물론 일반 국민들의역사문화인식 함양에 기여하고, 이에 대한 학술적 연구를 통해 우리의 역사문화를 체계적으로 규명하는데 그 목적을 두고 있습니다.""",,031-8036-7605,오산시청 문화체육관광과,2017-11-30
수원광교박물관,공립,경기도 수원시 영통구 광교로 182,경기도 수원시 영통구 이의동 403-2,37.296351,127.051421,031-228-4175,수원광교박물관,http://ggmuseum.suwon.go.kr,카페테리아+수유실+물품보관소+자전거보관대,09:00,18:00,09:00,18:00,"""매월 첫 번째 월요일(단, 월요일이 공휴일인 경우에는 그 다음 날을 휴관일로 한다.)""",2000,1000,0,"""1. 국빈·외국사절단 및 그 수행자 무료, 2. 국가유공자 무료, 3. 장애인 무료, 4. 12세 이하의 어린이 및 65세 이상의 노인 무료""","""수원광교박물관은 2014년 3월 7일에 개관, 광교신도시 개발지역에서 발굴된 선사시대부터 근현대 시기의 유물을 전시한 광교역사문화실과 사운 이종학실, 소강 민관식실로 이루어짐.""","""버스 : (좌석버스) M5115,M5121,3002,M5414,M5422,3900,7002 광교테크노밸리 하차 후 도보5분 4000 수원광교박물관 혹은 광교역사공원 하차 (일반) 60,660,82,85,700-2,720-1,720-2,730 수원광교박물관 혹은 광교역사공원 하차""",031-228-4175,수원시 박물관사업소,2017-04-20
수원화성박물관,공립,경기도 수원시 팔달구 창룡대로 21,경기도 수원시 팔달구 매향동 49,37.282591,127.018985,031-228-4242,수원화성박물관,http://hsmuseum.suwon.ne.kr,카페테리아+뮤지업샵+수유실+물품보관실,09:00,18:00,09:00,18:00,"""매월 첫 번째 월요일(단, 월요일이 공휴일인 경우에는 그 다음 날을 휴관일로 한다.)""",2000,1000,0,"""관람료 면제 1. 국빈·외국사절단 및 그 수행자, 2. 국가유공자, 3. 장애인, 4. 12세 이하, 65세 이상인 자, 5. 공무수행 중인 공무원, 6. 자료기증자, 7. 단체 인솔 교원/관광안내사, 8. 교육을 목적 단체 중고등학생, 9. 세자녀 이상 동반 가족, 10. 한복 착용한 사람""",세계문화유산 수원화성의 중심부에 자리잡아 접근성이 용이하고 모형과 관련 유물의 전시를 통해 화성 축성에 대한 전반을 이해할 수 있게 건립되었습니다,"""버스 : 2, 7-2, 47, 60, 400, 400-4, 660, 700-2, 999""",031-228-4242,수원시 박물관사업소,2017-04-20
수원박물관,공립,경기도 수원시 영통구 창룡대로 265,경기도 수원시 영통구 이의동 1088-10,37.297646,127.035631,031-228-4150,수원박물관,http://swmuseum.suwon.go.kr,뮤지엄샵+북카페+수유실+물품보관소+자전거보관대,09:00,18:00,09:00,18:00,"""매월 첫 번째 월요일(단, 월요일이 공휴일인 경우에는 그 다음 날을 휴관일로 한다.)""",2000,1000,0,"""1. 국빈·외국사절단 및 그 수행자 무료, 2. 국가유공자 무료, 3. 장애인 무료, 4. 12세 이하의 어린이 및 65세 이상의 노인 무료""","""수원박물관은 2008년 10월 1일에 개관, 수원의 유구한 역사와 문화를 다양하게 보여주는 수원역사박물관과 한국 서예사를 한 눈에 볼 수 있는 한국서예박물관으로 이루어짐.""","""버스 : (좌석버스) 1007,1007-1,3007,4000,7000,7001,8800, (일반) 400,400-4,54,60,660,7-2,700-2,720-1,721,730,80""",031-228-4150,수원시 박물관사업소,2017-04-20
수원시립아이파크미술관,공립,경기도 수원시 팔달구 정조로 833,경기도 수원시 팔달구 신풍동 238-1,37.282704,127.015823,031-228-3800,수원시,http://sima.suwon.go.kr,교육실+라이브러리+카페테리아,10:00,19:00,10:00,19:00,"""매주 월요일(단, 월요일이 공휴일인 경우 그 다음날 휴관)""",4000,2000,1000,"""만 65세 이상어르신, 장애인, 국가유공자, 국민기초생활보장법의 수급자, 병역명문가 및 인솔교사 1명 무료""",전통과 현대의 문화예술 플랫폼으로 지역작가를 후원 발굴하고 국내외 새로운 미술경향을 소개합니다.,"""버스 : 11, 13, 13-3, 36, 60, 660(도보8분)""",031-228-3800,경기도 수원시,2017-04-20
충현박물관,사립,경기도 광명시 오리로 347번길 5-6,경기도 광명시 소하동 1084번지,37.4334316,126.8779195,02-898-0505,충현문화재단,http://www.chunghyeon.org/,,10:00,17:00,00:00,00:00,"""매주 월요일, 일요일,공휴일""",3500,2500,2500,단체 20퍼센트 할인,청백리 오리이원익 종가박물관,"""2,3,17,12번 버스 충현고등학교 하차""",02-898-0505,충현문화재단,2017-01-01
일본군''위안부''역사관,사립,경기도 광주시 퇴촌면 가새골길 85,경기도 광주시 퇴촌면 원당리 65번지,37.444562,127.321562,031-768-0064,일본군''위안부''역사관,http://www.nanum.org,주차장+카페,10:00,17:00,10:00,17:00,매주 월요일,5000,3000,3000,"""영상관람2,000원""",일본군위안부피해자 문제 전시,광주터미널에서 택시이용,031-768-1545,나눔의집,2017-11-10
영은미술관,사립,경기도 광주시 청석로 300,경기도 광주시 쌍령동 7-13번지,37.414001,127.268622,031-761-0137,영은미술관,http://www.youngeunmuseum.org/,주차장+카페,10:00,18:00,10:00,18:00,매주 월요일,6000,4000,3000,,,,031-761-0137,영은미술관,2017-11-10
닻미술관,사립,경기도 광주시 초월읍 진새골길 184,경기도 광주시 초월읍 대쌍령리 447-32번지,37.383788,127.271245,031-798-2581,재단법인닻문화재단,http://www.datzmuseum.org/,주차장+카페테리아+멤버쉽 라운지,11:00,18:00,11:00,18:00,월+화요일+설+추석연휴+선거일,2000,1000,1000,,2010년 개관한 사진과 현대미술 중심의 미술관. 체험학습을 위한 목공방과 유리온실이 함께 운영되며 일년에 한번 2박 3일간 청소년을 위한 사진캠프도 열고 있다.,광역버스 1113-1(강변역 출발),031-798-2581,재단법인닻문화재단,2017-11-10
만해기념관,사립,경기도 광주시 남한산성로792번길 24-7,경기도 광주시 남한산성면 산성리 912-1번지,37.479384,127.180638,031-744-3100,만해기념관,http://www.manhae.or.kr,교육실+휴게실,10:00,16:00,10:00,16:00,매주 월요일+1월1일,2000,1000,1000,국가유공자무료,"""다양한 만해선생 관련 자료와 연구서들이 체계적으로 수집,정리,연구 되는 명실상부한 만해연구의 도량이요 만해 정신을 선양하고 있는 사립박물관이다.""","""지하철 8호선 산성역(2번 출구)-9번, 9-1번,52번 버스탑승 산성종점 하차""",031-744-3100,만해기념관,2017-11-10
사람박물관 얼굴,사립,경기도 광주시 남종면 분원길 3-6,경기도 광주시 남종면 분원리 68번지,37.493941,127.302021,031-765-3522,사람박물관얼굴,http://visagej.org/,,13:30,18:00,10:00,18:00,월+화요일,4000,3000,2000,,,,031-765-3522,사람박물관얼굴,2017-11-10
풀짚공예박물관,사립,경기도 광주시 오포읍 문형산길 76,경기도 광주시 오포읍 신현리 331-5번지,37.364201,127.165101,031-717-4538,풀짚공예박물관,http://www.pulzip.com/,주차장+카페,10:00,17:00,10:00,17:00,매주 월요일,3000,1500,1500,,풀짚공예품 전시,"""분당선 이매역 하차 119번, 17번 버스 이용 광명초등학교 앞에서 약700m""",031-717-7538,풀짚공예박물관,2017-11-10
